tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,tz_offset,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,26850,57586,"Svensson, Jesper",0,0,SWE,173.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,27364,58168,"Thompson, Davis",0,0,USA,85.0,116.0,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,26649,57364,"Thorbjornsen, Michael",0,0,USA,68.0,48.0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,12425,30927,"Todd, Brendon",0,0,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,17032,38991,"Tosti, Alejandro",0,0,ARG,428.0,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,23816,52666,"Valimaki, Sami",0,0,FIN,63.0,47.0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,17550,40006,"Van Rooyen, Erik",0,0,RSA,267.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,25319,55573,"VanDerLaan, John",0,0,USA,215.0,254.0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,15651,35658,"Ventura, Kris",0,0,NOR,105.0,209.0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,24304,54304,"Vilips, Karl",0,0,AUS,213.0,141.0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
